Id,cooling,model,torque,bore_stroke,transmission,dry_weight,frame,fuel_control,lubrication,engine,rear_suspension,total_length,starter,displacement,rear_brakes,compression,ignition,total_width,valves_per_cylinder,front_suspension,fuel_capacity,total_height,rear_tire,make,gearbox,emission,fuel_consumption,type,top_speed,total_weight,ground_clearance,wheelbase,clutch,fuel_system,year,rear_wheel_travel,front_brakes,front_tire,seat_height,power,front_wheel_travel
2064,Oil & air,Griso 8V SE,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 6400 RPM,95.0 x 81.5 mm (3.7 x 3.2 inches),Shaft drive (cardan)   (final drive),,High tensile steel tubular twin cradle,Single Overhead Cams (SOHC),Oil bath,"V2, four-stroke","Progressive single swingarm, fully adjustable monoshock with separate gas reservoir (spring preload and hydraulic for rebound and compression).",2260 mm (89.0 inches),Electric,1151.0 ccm (70.23 cubic inches),Single disc. Floating caliper fitted with 2 parallel pistons,11.0:1,"Inductive discharge, digitally controlled, electronic twin spark ignition",830 mm (32.7 inches),4,"Upside down fork, fully adjustable in spring preload and compression and rebound damping",16.70 litres (4.41 US gallons),1070 mm (42.1 inches),180/55-ZR17 ,Moto Guzzi,6-speed,,,Naked bike,,222.0 kg (489.4 pounds),185 mm (7.3 inches),1554 mm (61.2 inches),Single plate with integrated flexible couplings,"Injection. Multipoint sequential electronic injection, Magneti Marelli IAW 5A phased, alfa-n system; 2 x Ø50 mm throttle bodies with Weber IWP 189 injectors, Lambda probe.",2016,110 mm (4.3 inches),Double disc. Perforated wave discs and 4  opposed piston calipers,120/70-ZR17 ,"800 mm (31.5 inches) If adjustable, lowest setting.",110.0 HP (80.3  kW)) @ 7500 RPM,120 mm (4.7 inches)
2065,Oil & air,MGX-21,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 2750 RPM,,Shaft drive (cardan)   (final drive),,,,,"V2, four-stroke",,,Electric,1380.0 ccm (84.21 cubic inches),Single disc. ABS,,,,2,Telescopic fork ,,,,Moto Guzzi,6-speed,,,Custom / cruiser,,330.0 kg (727.5 pounds),,,,Injection,2016,,Double disc. ABS,,,95.2 HP (69.5  kW)) @ 6500 RPM,
2066,Air,Nevada Aquila Nera,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,,Shaft drive (cardan)   (final drive),,Detachable  tubular duplex cradle in special high-strengh steel,Overhead Valves (OHV),,"V2, four-stroke","Swinging arm cast light alloy with two dampers, spring preload ",2166 mm (85.3 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc,,,,2,Hydraulic telescopic fork,14.00 litres (3.70 US gallons),,130/90-16 ,Moto Guzzi,5-speed,,,Custom / cruiser,,179.0 kg (394.6 pounds),290 mm (11.4 inches),1467 mm (57.8 inches),"Single disc, dry, with cush drive",Injection,2016,130 mm (5.1 inches),Single disc. 4-piston calliper,100/90-18 ,"767 mm (30.2 inches) If adjustable, lowest setting.",48.0 HP (35.0  kW)) @ 6200 RPM,130 mm (5.1 inches)
2067,Air,Norge GT 8V,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5500 RPM,95.0 x 81.2 mm (3.7 x 3.2 inches),Shaft drive (cardan)   (final drive),257.0 kg (566.6 pounds),"Tubular cradle, high tensile steel",Overhead Valves (OHV),,"V2, four-stroke","Single arm suspension with progressive linkage, rear shock absorber adjustable in rebound and pre-load (hydraulic)",2195 mm (86.4 inches),Electric,1151.0 ccm (70.23 cubic inches),"Single disc. ABS. Stainless steel fixed disc, floating calliper with 2 parallel pistons - ABS",9.8:1,,870 mm (34.3 inches),4,Telescopic hydraulic fork with 45 mm stanchions and adjustable spring preload,23.00 litres (6.08 US gallons),1125 mm (44.3 inches),180/55-ZR17 ,Moto Guzzi,6-speed,,,Sport touring,,,185 mm (7.3 inches),1495 mm (58.9 inches),Dry plate,"Injection. Magneti Marelli IAW5A,  and #945;-n type; 2 Ø 45 mm throttle bodies, Weber IWP 162 injectors, Lambda control, twin spark ignition",2016,140 mm (5.5 inches),Double disc. ABS. Stainless steel floating discs and callipers with 4 horizontally opposed pistons - ABS,120/70-ZR17 ,"810 mm (31.9 inches) If adjustable, lowest setting.",102.0 HP (74.5  kW)) @ 7000 RPM,120 mm (4.7 inches)
2068,Oil & air,Stelvio 1200 8V,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 5800 RPM,95.0 x 81.2 mm (3.7 x 3.2 inches),Shaft drive (cardan)   (final drive),,Tubular in high-strength steel with integrated engine,Overhead Valves (OHV),,"V2, four-stroke","Progressive single swingarm, fully adjustable monoshock with separate gas reservoir (spring preload and hydraulic for rebound and compression).",2250 mm (88.6 inches),Electric,1151.0 ccm (70.23 cubic inches),"Single disc. Optional ABS. Single fixed stainless steel disc, floating caliper with 2 parallel pistons.",11.0:1,"Multipoint sequential electronic ignition, Magneti Marelli ",,4,"Fork with Ø 50mm inverted stems, fully adjustable (spring preload and hydraulic compression and rebound damping)",32.00 litres (8.45 US gallons),1475 mm (58.1 inches),180/55-R17 ,Moto Guzzi,6-speed,,,Enduro / offroad,,257.0 kg (566.6 pounds),210 mm (8.3 inches),1535 mm (60.4 inches),Single-disc with integrated anti-vibration buffer,Injection,2016,155 mm (6.1 inches),"Double disc. Optional ABS. Stainless steel wave discs, radial calipers with 4 opposed pistons.",110/80-R19 ,"820 mm (32.3 inches) If adjustable, lowest setting.",105.0 HP (76.6  kW)) @ 7500 RPM,170 mm (6.7 inches)
2069,Oil & air,Stelvio 1200 NTX,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 5800 RPM,95.0 x 81.2 mm (3.7 x 3.2 inches),Shaft drive (cardan)   (final drive),,High tensile steel tubular twin cradle,Overhead Valves (OHV),,"V2, four-stroke","Single arm with progressive linkage, monoshock with adjustable hydraulic rebound damping and spring preload adjuster knob.",2250 mm (88.6 inches),Electric,1151.0 ccm (70.23 cubic inches),"Single disc. Bremo. Single fixed stainless steel disc, floating caliper with 2 parallel pistons.",,Multipoint sequential electronic ignition,1050 mm (41.3 inches),4,Completely adjustable fork (spring preload and hydraulic compression and rebound damping) with 45 mm diam. upside down stanchions and caliper mounting for radial brake calipers.,32.00 litres (8.45 US gallons),1480 mm (58.3 inches),150/70-R17 ,Moto Guzzi,6-speed,,,Super motard,,272.0 kg (599.7 pounds),210 mm (8.3 inches),1535 mm (60.4 inches),Single-disc with integrated anti-vibration buffer,"Injection. Magneti Marelli IAW5A phased, alfa-n system; two Ø 50mm throttle bodies, Weber IWP 189 injectors, lambda probe.",2016,155 mm (6.1 inches),"Double disc. Bremo. Stainless steel wave discs, radial calipers with 4 opposed pistons.",110/80-R19 ,"820 mm (32.3 inches) If adjustable, lowest setting.",105.0 HP (76.6  kW)) @ 7250 RPM,170 mm (6.7 inches)
2070,Air,V7 II Racer ABS,57.9 Nm (5.9 kgf-m or 42.7 ft.lbs) @ 5000 RPM,,Shaft drive (cardan)   (final drive),,Double cradle tubular frame in ALS steel with detachable rear subframe,,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die-cast light alloy swing arm with 2 fully adjustable Bitubo shock absorbers,2203 mm (86.7 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,,800 mm (31.5 inches),2,Telescopic hydraulic fork with 40 mm stanchions,22.00 litres (5.81 US gallons),1115 mm (43.9 inches),130/80-17 ,Moto Guzzi,5-speed,,,Classic,,190.0 kg (418.9 pounds),179 mm (7.0 inches),1449 mm (57.0 inches),Dry single plate with flexible couplings,Injection. Weber-Marelli,2016,96 mm (3.8 inches),Single disc. ABS. Brembo caliper with 4 differentiated pistons,100/90-18 ,"790 mm (31.1 inches) If adjustable, lowest setting.",48.0 HP (35.0  kW)) @ 6200 RPM,130 mm (5.1 inches)
2071,Air,V7 II Scrambler ABS,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,80.0 x 74.0 mm (3.1 x 2.9 inches),Shaft drive (cardan)   (final drive),,Double cradle tubular frame in ALS steel with detachable rear subframe,,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,2184 mm (86.0 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,,800 mm (31.5 inches),2,Telescopic hydraulic fork with 40 mm stanchions,22.00 litres (5.81 US gallons),1113 mm (43.8 inches),130/80-17 ,Moto Guzzi,5-speed,,,Classic,,190.0 kg (418.9 pounds),179 mm (7.0 inches),1449 mm (57.0 inches),Dry single plate with flexible couplings,Injection. Weber-Marelli,2016,111 mm (4.4 inches),Single disc. ABS. Brembo caliper with 4 differentiated pistons,100/90-18 ,"790 mm (31.1 inches) If adjustable, lowest setting.",48.0 HP (35.0  kW)) @ 6200 RPM,130 mm (5.1 inches)
2072,Air,V7 II Special,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,80.0 x 74.0 mm (3.1 x 2.9 inches),Shaft drive (cardan)   (final drive),,Double cradle tubular frame in ALS steel with detachable rear subframe,,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,2184 mm (86.0 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. ABS. Floating disc. Two-piston calipers. ,10.5:1,,800 mm (31.5 inches),2,Telescopic hydraulic fork with 40 mm stanchions,22.00 litres (5.81 US gallons),1113 mm (43.8 inches),130/80-17 ,Moto Guzzi,6-speed,,,Classic,,190.0 kg (418.9 pounds),179 mm (7.0 inches),1449 mm (57.0 inches),Dry single plate with flexible couplings,Injection. Weber-Marelli,2016,111 mm (4.4 inches),Single disc. ABS. Brembo caliper with 4 differentiated pistons,100/90-18 ,"790 mm (31.1 inches) If adjustable, lowest setting.",48.0 HP (35.0  kW)) @ 6200 RPM,130 mm (5.1 inches)
2073,Air,V7 II Stone ABS,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,80.0 x 74.0 mm (3.1 x 2.9 inches),Shaft drive (cardan)   (final drive),189.0 kg (416.7 pounds),Double cradle tubular frame in ALS steel with detachable rear subframe,Overhead Valves (OHV),Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,2184 mm (86.0 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. ABS. Floating disc. Two-piston calipers. ,9.6:1,Magneti Marelli electronic digital,800 mm (31.5 inches),2,Telescopic hydraulic fork with 40 mm stanchions,22.00 litres (5.81 US gallons),1113 mm (43.8 inches),130/80-17 ,Moto Guzzi,6-speed,,,Classic,,189.0 kg (416.7 pounds),182 mm (7.2 inches),1449 mm (57.0 inches),Dry single plate with flexible couplings,Injection. Weber-Marelli electronic fuel injection.,2016,96 mm (3.8 inches),Single disc. ABS. Brembo caliper with 4 differentiated pistons,100/90-18 ,"780 mm (30.7 inches) If adjustable, lowest setting.",48.0 HP (35.0  kW)) @ 6200 RPM,110 mm (4.3 inches)
2074,Air,V7 II Stornello,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,80.0 x 74.0 mm (3.1 x 2.9 inches),Shaft drive (cardan)   (final drive),,Double cradle tubular frame in ALS steel with detachable rear subframe,,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,2184 mm (86.0 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,,800 mm (31.5 inches),2,Telescopic hydraulic fork with 40 mm stanchions,22.00 litres (5.81 US gallons),1113 mm (43.8 inches),130/80-17 ,Moto Guzzi,5-speed,,,Classic,,190.0 kg (418.9 pounds),179 mm (7.0 inches),1449 mm (57.0 inches),Dry single plate with flexible couplings,Injection. Weber-Marelli,2016,111 mm (4.4 inches),Single disc. ABS. Brembo caliper with 4 differentiated pistons,100/90-18 ,"790 mm (31.1 inches) If adjustable, lowest setting.",48.0 HP (35.0  kW)) @ 6200 RPM,130 mm (5.1 inches)
2075,Air,V9 Bobber,64.4 Nm (6.6 kgf-m or 47.5 ft.lbs) @ 3000 RPM,,Shaft drive (cardan)   (final drive),,,,,"V2, four-stroke",Dual shocks,,Electric,850.0 ccm (51.87 cubic inches),Single disc. ABS,10.5:1,,,,Hydraulic telescopic fork,,,150/80-16 ,Moto Guzzi,5-speed,,,Allround,,200.0 kg (440.9 pounds),,1478 mm (58.2 inches),,Injection,2016,,Single disc. ABS,100/90-16 ,,55.0 HP (40.1  kW)) @ 6250 RPM,116 mm (4.6 inches)
2076,Air,V9 Roamer,64.4 Nm (6.6 kgf-m or 47.5 ft.lbs) @ 3000 RPM,,Shaft drive (cardan)   (final drive),,,,,"V2, four-stroke",Dual shocks,,Electric,850.0 ccm (51.87 cubic inches),Single disc. ABS,10.5:1,,,,Hydraulic telescopic fork,,,150/80-16 ,Moto Guzzi,5-speed,,,Classic,,200.0 kg (440.9 pounds),,1478 mm (58.2 inches),,Injection,2016,,Single disc. ABS,100/90-19 ,,55.0 HP (40.1  kW)) @ 6250 RPM,
2077,Air,1200 Sport Rosso Corsa,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 6750 RPM,95.0 x 81.2 mm (3.7 x 3.2 inches),Shaft drive (cardan)   (final drive),,Tubular in high-strength steel with integrated engine,Overhead Valves (OHV),,"V2, four-stroke","Progressive single swingarm, fully adjustable monoshock with separate gas reservoir (spring preload and hydraulic for rebound and compression).",2195 mm (86.4 inches),Electric,1151.0 ccm (70.23 cubic inches),"Single disc. Single fixed stainless steel disc, floating caliper with 2 parallel pistons.",11.0:1,"Multipoint sequential electronic ignition, Magneti Marelli ",840 mm (33.1 inches),,"Fork with Ø 50mm inverted stems, fully adjustable (spring preload and hydraulic compression and rebound damping)",32.00 litres (8.45 US gallons),1160 mm (45.7 inches),180/55-17 ,Moto Guzzi,6-speed,,,Enduro / offroad,,240.0 kg (529.1 pounds),,1535 mm (60.4 inches),Single-disc with integrated anti-vibration buffer,Injection,2015,,"Double disc. Stainless steel wave discs, radial calipers with 4 opposed pistons.",110/80-17 ,,105.0 HP (76.6  kW)) @ 7000 RPM,
2078,Oil & air,California 1400 Custom,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 2750 RPM,,Shaft drive (cardan)   (final drive),,"Steel tubing, closed double cradle with elastic-kinematic engine mounting system to isolate vibrations.",,,"V2, four-stroke",Dual shocks adjustable spring preload ,2445 mm (96.3 inches),Electric,1380.0 ccm (84.21 cubic inches),"Single disc. ABS. Stainless steel fixed disc, 2-piston Brembo floating caliper .",,Ride by Wire with integral management of 3 engine maps,1030 mm (40.6 inches),2,46mm telescopic fork ,20.50 litres (5.42 US gallons),,200/60-R16 ,Moto Guzzi,6-speed,,,Custom / cruiser,,318.0 kg (701.1 pounds),165 mm (6.5 inches),1665 mm (65.6 inches),,Injection,2015,110 mm (4.3 inches),"Double disc. ABS. Stainless steel floating discs, 4-piston Brembo radial calipers ",130/70-R18 ,"740 mm (29.1 inches) If adjustable, lowest setting.",95.2 HP (69.5  kW)) @ 6500 RPM,120 mm (4.7 inches)
2079,Oil & air,California 1400 Touring,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 2750 RPM,104.0 x 81.2 mm (4.1 x 3.2 inches),Shaft drive (cardan)   (final drive),322.0 kg (709.9 pounds),Closed double-cradle tubular steel frame with elastokinematic engine fastening,,,"V2, four-stroke",Dual shocks adjustable spring preload ,2445 mm (96.3 inches),Electric,1380.0 ccm (84.21 cubic inches),Single disc. ABS,,Ride by Wire with integral management of 3 engine maps,1030 mm (40.6 inches),,46mm telescopic fork,20.50 litres (5.42 US gallons),1460 mm (57.5 inches),200/60-16 ,Moto Guzzi,6-speed,,,Touring,,370.0 kg (815.7 pounds),165 mm (6.5 inches),1665 mm (65.6 inches),,Injection,2015,110 mm (4.3 inches),Double disc. ABS,130/70-18 ,"740 mm (29.1 inches) If adjustable, lowest setting.",96.0 HP (70.1  kW)) @ 6500 RPM,120 mm (4.7 inches)
2080,Air,Griso 1200 S.E.,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 6400 RPM,95.0 x 81.5 mm (3.7 x 3.2 inches),Shaft drive (cardan)   (final drive),,High tensile steel tubular twin cradle,Single Overhead Cams (SOHC),,"V2, four-stroke","Progressive single swingarm, fully adjustable monoshock with separate gas reservoir (spring preload and hydraulic for rebound and compression).",2260 mm (89.0 inches),Electric,1151.0 ccm (70.23 cubic inches),Single disc. Floating caliper fitted with 2 parallel pistons,11.0:1,"Inductive discharge, digitally controlled, electronic twin spark ignition",830 mm (32.7 inches),4,"Upside down fork, fully adjustable in spring preload and compression and rebound damping",16.70 litres (4.41 US gallons),1070 mm (42.1 inches),180/55-ZR17 ,Moto Guzzi,6-speed,,,Naked bike,,240.0 kg (529.1 pounds),185 mm (7.3 inches),1554 mm (61.2 inches),Single plate with integrated flexible couplings,"Injection. Multipoint sequential electronic injection, Magneti Marelli IAW 5A phased, alfa-n system; 2 x Ø50 mm throttle bodies with Weber IWP 189 injectors, Lambda probe.",2015,110 mm (4.3 inches),Double disc. Perforated wave discs and 4  opposed piston calipers,120/70-ZR17 ,"800 mm (31.5 inches) If adjustable, lowest setting.",110.0 HP (80.3  kW)) @ 7500 RPM,120 mm (4.7 inches)
2081,Air,Griso 8V SE,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 6400 RPM,95.0 x 81.5 mm (3.7 x 3.2 inches),Shaft drive (cardan)   (final drive),,High tensile steel tubular twin cradle,Single Overhead Cams (SOHC),,"V2, four-stroke","Progressive single swingarm, fully adjustable monoshock with separate gas reservoir (spring preload and hydraulic for rebound and compression).",2260 mm (89.0 inches),Electric,1064.0 ccm (64.93 cubic inches),Single disc. Floating caliper fitted with 2 parallel pistons,11.0:1,"Inductive discharge, digitally controlled, electronic twin spark ignition",830 mm (32.7 inches),4,"Upside down fork, fully adjustable in spring preload and compression and rebound damping",16.70 litres (4.41 US gallons),1070 mm (42.1 inches),180/55-ZR17 ,Moto Guzzi,6-speed,,,Naked bike,,222.0 kg (489.4 pounds),185 mm (7.3 inches),1554 mm (61.2 inches),Single plate with integrated flexible couplings,"Injection. Multipoint sequential electronic injection, Magneti Marelli IAW 5A phased, alfa-n system; 2 x Ø50 mm throttle bodies with Weber IWP 189 injectors, Lambda probe.",2015,110 mm (4.3 inches),Double disc. Perforated wave discs and 4  opposed piston calipers,120/70-ZR17 ,"800 mm (31.5 inches) If adjustable, lowest setting.",110.0 HP (80.3  kW)) @ 7500 RPM,120 mm (4.7 inches)
2082,Air,Nevada,54.7 Nm (5.6 kgf-m or 40.3 ft.lbs) @ 3600 RPM,,Shaft drive (cardan)   (final drive),,Detachable  tubular duplex cradle in special high-strengh steel,Overhead Valves (OHV),,"V2, four-stroke",Pressure fused oscillating swing arm in light alloy with two preload adjustable shocks,2166 mm (85.3 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc,,,,2,Hydraulic telescopic fork,14.00 litres (3.70 US gallons),,130/90-16 ,Moto Guzzi,5-speed,,,Custom / cruiser,,196.0 kg (432.1 pounds),290 mm (11.4 inches),1467 mm (57.8 inches),"Single disc, dry, with cush drive",Injection,2015,130 mm (5.1 inches),Single disc. 4-piston calliper,100/90-18 ,"752 mm (29.6 inches) If adjustable, lowest setting.",47.6 HP (34.7  kW)) @ 6800 RPM,130 mm (5.1 inches)
2083,Air,Norge GT 8V,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5800 RPM,95.0 x 81.2 mm (3.7 x 3.2 inches),Shaft drive (cardan)   (final drive),257.0 kg (566.6 pounds),"Tubular cradle, high tensile steel",Overhead Valves (OHV),,"V2, four-stroke","Single arm suspension with progressive linkage, rear shock absorber adjustable in rebound and pre-load (hydraulic)",2195 mm (86.4 inches),Electric,1151.0 ccm (70.23 cubic inches),"Single disc. Stainless steel fixed disc, floating calliper with 2 parallel pistons - ABS",9.8:1,,870 mm (34.3 inches),4,Telescopic hydraulic fork with 45 mm stanchions and adjustable spring preload,23.00 litres (6.08 US gallons),1125 mm (44.3 inches),180/55-ZR17 ,Moto Guzzi,6-speed,,,Sport touring,,,185 mm (7.3 inches),1495 mm (58.9 inches),Dry plate,"Injection. Magneti Marelli IAW5A,  and #945;-n type; 2 Ø 45 mm throttle bodies, Weber IWP 162 injectors, Lambda control, twin spark ignition",2015,140 mm (5.5 inches),Double disc. Stainless steel floating discs and callipers with 4 horizontally opposed pistons - ABS,120/70-ZR17 ,"800 mm (31.5 inches) If adjustable, lowest setting.",102.0 HP (74.5  kW)) @ 7000 RPM,120 mm (4.7 inches)
2084,Oil & air,Stelvio 1200 NTX,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 5800 RPM,95.0 x 81.2 mm (3.7 x 3.2 inches),Shaft drive (cardan)   (final drive),,High tensile steel tubular twin cradle,Overhead Valves (OHV),,"V2, four-stroke","Single arm with progressive linkage, monoshock with adjustable hydraulic rebound damping and spring preload adjuster knob.",2250 mm (88.6 inches),Electric,1151.0 ccm (70.23 cubic inches),"Single disc. ABS. Single fixed stainless steel disc, floating caliper with 2 parallel pistons.",,Multipoint sequential electronic ignition,1050 mm (41.3 inches),4,Completely adjustable fork (spring preload and hydraulic compression and rebound damping) with 45 mm diam. upside down stanchions and caliper mounting for radial brake calipers.,32.00 litres (8.45 US gallons),1480 mm (58.3 inches),150/70-R17 ,Moto Guzzi,6-speed,,,Super motard,,272.0 kg (599.7 pounds),210 mm (8.3 inches),1535 mm (60.4 inches),Single-disc with integrated anti-vibration buffer,"Injection. Magneti Marelli IAW5A phased, alfa-n system; two Ø 50mm throttle bodies, Weber IWP 189 injectors, lambda probe.",2015,155 mm (6.1 inches),"Double disc. ABS. Stainless steel wave discs, radial calipers with 4 opposed pistons.",110/80-R19 ,"820 mm (32.3 inches) If adjustable, lowest setting.",105.0 HP (76.6  kW)) @ 7250 RPM,170 mm (6.7 inches)
2085,Air,V7 II Racer,57.9 Nm (5.9 kgf-m or 42.7 ft.lbs) @ 5000 RPM,80.0 x 74.4 mm (3.1 x 2.9 inches),Shaft drive (cardan)   (final drive),,Double cradle tubular frame in ALS steel with detachable rear subframe,,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,2184 mm (86.0 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. Floating disc. Two-piston calipers. ,,,800 mm (31.5 inches),2,Telescopic hydraulic fork with 40 mm stanchions,21.95 litres (5.80 US gallons),1113 mm (43.8 inches),130/80-17 ,Moto Guzzi,5-speed,,,Classic,,190.0 kg (418.9 pounds),179 mm (7.0 inches),1449 mm (57.0 inches),Dry single plate with flexible couplings,Injection. Weber-Marelli,2015,110 mm (4.3 inches),Single disc. Brembo caliper with 4 differentiated pistons,100/90-18 ,"780 mm (30.7 inches) If adjustable, lowest setting.",49.6 HP (36.2  kW)) @ 6200 RPM,130 mm (5.1 inches)
2086,Air,V7 II Special,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,80.0 x 74.0 mm (3.1 x 2.9 inches),Shaft drive (cardan)   (final drive),,Double cradle tubular frame in ALS steel with detachable rear subframe,,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,2184 mm (86.0 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. Floating disc. Two-piston calipers. ,,,800 mm (31.5 inches),2,Telescopic hydraulic fork with 40 mm stanchions,21.95 litres (5.80 US gallons),1113 mm (43.8 inches),130/80-17 ,Moto Guzzi,5-speed,,,Classic,,190.0 kg (418.9 pounds),179 mm (7.0 inches),1449 mm (57.0 inches),Dry single plate with flexible couplings,Injection. Weber-Marelli,2015,110 mm (4.3 inches),Single disc. Brembo caliper with 4 differentiated pistons,100/90-18 ,"790 mm (31.1 inches) If adjustable, lowest setting.",49.6 HP (36.2  kW)) @ 6200 RPM,130 mm (5.1 inches)
2087,Air,V7 II Stone,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,80.0 x 74.0 mm (3.1 x 2.9 inches),Shaft drive (cardan)   (final drive),,Double cradle tubular frame in ALS steel with detachable rear subframe,,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,2184 mm (86.0 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. Floating disc. Two-piston calipers. ,,,800 mm (31.5 inches),2,Telescopic hydraulic fork with 40 mm stanchions,21.95 litres (5.80 US gallons),1113 mm (43.8 inches),130/80-17 ,Moto Guzzi,5-speed,,,Classic,,179.0 kg (394.6 pounds),,1449 mm (57.0 inches),Dry single plate with flexible couplings,Injection. Weber-Marelli electronic fuel injection.,2015,96 mm (3.8 inches),Single disc. Brembo caliper with 4 differentiated pistons,100/90-18 ,"780 mm (30.7 inches) If adjustable, lowest setting.",48.0 HP (35.0  kW)) @ 6200 RPM,110 mm (4.3 inches)
2088,,V7 Racer,57.9 Nm (5.9 kgf-m or 42.7 ft.lbs) @ 5000 RPM,,Shaft drive (cardan)   (final drive),,Double cradle tubular frame in ALS steel with detachable rear subframe,,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,2184 mm (86.0 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. Floating disc. Two-piston calipers. ,,,800 mm (31.5 inches),,Telescopic hydraulic fork with 40 mm stanchions,21.95 litres (5.80 US gallons),1113 mm (43.8 inches),130/80-17 ,Moto Guzzi,5-speed,,,Classic,,179.0 kg (394.6 pounds),,,Dry single plate with flexible couplings,Injection. Weber-Marelli,2015,,Single disc. Brembo caliper with 4 differentiated pistons,100/90-18 ,"780 mm (30.7 inches) If adjustable, lowest setting.",49.6 HP (36.2  kW)) @ 6200 RPM,
2089,,V7 Racer Verde Legnano SE,57.9 Nm (5.9 kgf-m or 42.7 ft.lbs) @ 5000 RPM,,Shaft drive (cardan)   (final drive),,Double cradle tubular frame in ALS steel with detachable rear subframe,,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,"V2, four-stroke",Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,2184 mm (86.0 inches),Electric,744.0 ccm (45.40 cubic inches),Single disc. Floating disc. Two-piston calipers. ,,,800 mm (31.5 inches),,Telescopic hydraulic fork with 40 mm stanchions,22.00 litres (5.81 US gallons),1113 mm (43.8 inches),130/80-17 ,Moto Guzzi,5-speed,,,Classic,,198.0 kg (436.5 pounds),,1449 mm (57.0 inches),Dry single plate with flexible couplings,Injection. Weber-Marelli,2015,,Single disc. Brembo caliper with 4 differentiated pistons,100/90-18 ,"780 mm (30.7 inches) If adjustable, lowest setting.",50.0 HP (36.5  kW)) @ 6200 RPM,
